"mt_id","cluster"
"2963_111","2"
"2963_114","2"
"2963_12","1"
"2963_13","1"
"2963_14","1"
"2963_18","2"
"2963_19","1"
"2963_23","2"
"2963_27","2"
"2963_28","2"
"2963_29","2"
"2963_3","1"
"2963_32","2"
"2963_34","1"
"2963_36","1"
"2963_37","2"
"2963_39","2"
"2963_42","2"
"2963_43","2"
"2963_46","2"
"2963_47","2"
"2963_49","1"
"2963_5","1"
"2963_51","1"
"2963_52","2"
"2963_53","2"
"2963_56","1"
"2963_6","1"
"2963_60","1"
"2963_63","2"
"2963_64","2"
"2963_65","2"
"2963_68","2"
"2963_7","1"
"2963_70","2"
"2963_73","2"
"2963_74","2"
"2963_76","2"
"2963_8","1"
"2963_81","2"
"2963_82","1"
"2963_85","2"
"2963_86","2"
"2963_87","2"
"2963_88","2"
"2963_89","2"
"2963_93","2"
"2963_95","1"
"2963_97","2"
"2963_98","2"
"2963_99","1"
"2971_0","3"
"2971_103","1"
"2971_106","2"
"2971_107","1"
"2971_111","1"
"2971_112","1"
"2971_114","1"
"2971_118","1"
"2971_14","2"
"2971_15","1"
"2971_16","2"
"2971_19","2"
"2971_20","2"
"2971_27","2"
"2971_28","1"
"2971_29","1"
"2971_3","3"
"2971_30","1"
"2971_31","1"
"2971_34","1"
"2971_35","1"
"2971_41","1"
"2971_42","1"
"2971_48","1"
"2971_51","1"
"2971_53","1"
"2971_54","1"
"2971_56","2"
"2971_58","1"
"2971_59","1"
"2971_63","1"
"2971_65","1"
"2971_66","1"
"2971_68","1"
"2971_70","1"
"2971_72","1"
"2971_77","1"
"2971_78","1"
"2971_79","1"
"2971_80","2"
"2971_86","1"
"2971_87","1"
"2971_89","1"
"2971_91","1"
"2971_93","1"
"2971_97","1"
"2971_98","1"
"2971_99","1"
"2976_1","2"
"2976_104","2"
"2976_105","1"
"2976_106","1"
"2976_108","1"
"2976_109","1"
"2976_11","2"
"2976_112","2"
"2976_115","1"
"2976_116","1"
"2976_117","2"
"2976_12","2"
"2976_13","2"
"2976_14","2"
"2976_16","1"
"2976_17","2"
"2976_23","1"
"2976_27","2"
"2976_3","2"
"2976_30","2"
"2976_37","1"
"2976_40","2"
"2976_41","1"
"2976_42","2"
"2976_45","2"
"2976_48","2"
"2976_49","2"
"2976_51","2"
"2976_54","1"
"2976_57","2"
"2976_58","2"
"2976_6","1"
"2976_60","1"
"2976_62","1"
"2976_64","2"
"2976_67","2"
"2976_70","2"
"2976_73","2"
"2976_75","2"
"2976_79","2"
"2976_8","2"
"2976_81","2"
"2976_82","1"
"2976_84","2"
"2976_85","2"
"2976_86","1"
"2976_87","2"
"2976_88","1"
"2976_93","1"
"2976_95","2"
"2976_96","1"
"2976_98","2"
"2978_0","2"
"2978_1","1"
"2978_10","1"
"2978_100","1"
"2978_101","1"
"2978_102","2"
"2978_104","1"
"2978_105","2"
"2978_108","1"
"2978_109","1"
"2978_11","1"
"2978_111","1"
"2978_113","1"
"2978_116","2"
"2978_117","1"
"2978_12","2"
"2978_15","1"
"2978_16","1"
"2978_18","1"
"2978_19","2"
"2978_20","2"
"2978_24","1"
"2978_27","1"
"2978_29","1"
"2978_3","2"
"2978_30","1"
"2978_31","1"
"2978_36","2"
"2978_40","1"
"2978_41","1"
"2978_42","1"
"2978_45","2"
"2978_49","1"
"2978_5","2"
"2978_53","1"
"2978_54","1"
"2978_55","1"
"2978_56","1"
"2978_58","1"
"2978_60","1"
"2978_62","3"
"2978_66","1"
"2978_68","2"
"2978_69","1"
"2978_70","1"
"2978_72","1"
"2978_73","1"
"2978_75","1"
"2978_78","1"
"2978_79","1"
"2978_81","1"
"2978_84","1"
"2978_88","2"
"2978_92","1"
"2978_94","1"
"2978_95","1"
"2983_102","2"
"2983_103","2"
"2983_105","3"
"2983_107","2"
"2983_109","2"
"2983_110","2"
"2983_113","2"
"2983_114","3"
"2983_116","2"
"2983_13","3"
"2983_2","3"
"2983_20","3"
"2983_25","1"
"2983_26","1"
"2983_27","1"
"2983_34","2"
"2983_38","1"
"2983_39","1"
"2983_43","3"
"2983_47","2"
"2983_49","2"
"2983_5","3"
"2983_53","2"
"2983_54","2"
"2983_55","2"
"2983_6","3"
"2983_61","2"
"2983_64","2"
"2983_65","2"
"2983_66","2"
"2983_67","3"
"2983_71","2"
"2983_73","2"
"2983_76","2"
"2983_78","2"
"2983_79","2"
"2983_82","2"
"2983_85","2"
"2983_86","2"
"2983_89","3"
"2983_90","2"
"2983_93","3"
"2983_96","2"
"2983_97","2"
"2983_99","2"
"2996_100","3"
"2996_101","3"
"2996_102","3"
"2996_11","3"
"2996_113","3"
"2996_115","3"
"2996_13","3"
"2996_16","3"
"2996_20","3"
"2996_25","3"
"2996_30","2"
"2996_36","2"
"2996_38","3"
"2996_42","3"
"2996_50","1"
"2996_51","3"
"2996_53","3"
"2996_6","3"
"2996_61","3"
"2996_63","3"
"2996_67","3"
"2996_76","3"
"2996_80","3"
"2996_82","3"
"2996_9","3"
"2996_94","3"
"2997_0","2"
"2997_1","2"
"2997_10","2"
"2997_103","2"
"2997_104","3"
"2997_106","3"
"2997_109","2"
"2997_11","2"
"2997_110","3"
"2997_112","2"
"2997_114","2"
"2997_115","3"
"2997_117","3"
"2997_12","2"
"2997_15","2"
"2997_16","2"
"2997_17","2"
"2997_19","2"
"2997_22","2"
"2997_24","2"
"2997_27","2"
"2997_28","2"
"2997_29","2"
"2997_32","3"
"2997_35","3"
"2997_38","2"
"2997_42","3"
"2997_44","3"
"2997_46","2"
"2997_47","2"
"2997_49","2"
"2997_53","3"
"2997_55","3"
"2997_57","2"
"2997_6","2"
"2997_62","3"
"2997_64","2"
"2997_66","2"
"2997_67","2"
"2997_68","3"
"2997_7","2"
"2997_73","2"
"2997_75","2"
"2997_76","2"
"2997_78","3"
"2997_79","3"
"2997_82","3"
"2997_86","3"
"2997_88","3"
"2997_91","3"
"2997_93","2"
"2997_94","2"
"2997_97","3"
"2997_98","2"
"2997_99","2"
"3020_0","2"
"3020_104","2"
"3020_106","3"
"3020_107","2"
"3020_109","2"
"3020_110","3"
"3020_112","3"
"3020_116","2"
"3020_12","3"
"3020_15","2"
"3020_17","3"
"3020_19","3"
"3020_21","2"
"3020_23","3"
"3020_28","3"
"3020_30","2"
"3020_32","2"
"3020_33","3"
"3020_34","3"
"3020_38","2"
"3020_39","2"
"3020_4","3"
"3020_40","3"
"3020_41","3"
"3020_46","3"
"3020_48","2"
"3020_5","2"
"3020_52","3"
"3020_53","3"
"3020_54","3"
"3020_55","2"
"3020_6","3"
"3020_63","2"
"3020_65","3"
"3020_67","2"
"3020_70","3"
"3020_71","2"
"3020_73","2"
"3020_76","3"
"3020_77","2"
"3020_78","3"
"3020_80","2"
"3020_83","3"
"3020_89","3"
"3020_9","3"
"3020_90","3"
"3020_94","2"
"3020_95","3"
"3020_97","3"
"3023_0","3"
"3023_1","3"
"3023_102","3"
"3023_105","2"
"3023_106","2"
"3023_107","2"
"3023_108","2"
"3023_113","3"
"3023_115","2"
"3023_117","3"
"3023_118","3"
"3023_12","3"
"3023_13","3"
"3023_14","2"
"3023_17","2"
"3023_19","2"
"3023_2","3"
"3023_21","3"
"3023_26","3"
"3023_29","3"
"3023_31","3"
"3023_32","2"
"3023_34","2"
"3023_36","2"
"3023_39","3"
"3023_4","2"
"3023_44","3"
"3023_47","3"
"3023_5","2"
"3023_51","2"
"3023_54","3"
"3023_55","2"
"3023_58","3"
"3023_59","3"
"3023_61","3"
"3023_62","3"
"3023_63","2"
"3023_66","2"
"3023_68","1"
"3023_71","3"
"3023_74","3"
"3023_77","3"
"3023_79","2"
"3023_80","2"
"3023_82","3"
"3023_89","2"
"3023_90","3"
"3023_94","3"
"3023_96","3"
"3023_97","3"
"3023_98","2"
"3025_0","2"
"3025_117","1"
"3025_15","1"
"3025_2","2"
"3025_26","2"
"3025_3","2"
"3025_53","2"
"3025_56","1"
"3025_6","2"
"3025_7","3"
"3025_9","2"
"3026_0","2"
"3026_10","2"
"3026_101","2"
"3026_102","2"
"3026_104","2"
"3026_105","2"
"3026_108","2"
"3026_112","2"
"3026_113","2"
"3026_114","2"
"3026_115","3"
"3026_12","2"
"3026_13","2"
"3026_16","2"
"3026_18","2"
"3026_21","2"
"3026_22","2"
"3026_25","1"
"3026_26","1"
"3026_3","1"
"3026_30","3"
"3026_33","2"
"3026_35","2"
"3026_39","2"
"3026_41","3"
"3026_45","2"
"3026_47","3"
"3026_49","2"
"3026_5","1"
"3026_51","2"
"3026_52","1"
"3026_58","1"
"3026_59","2"
"3026_6","2"
"3026_61","2"
"3026_67","2"
"3026_69","2"
"3026_71","1"
"3026_74","2"
"3026_77","3"
"3026_78","1"
"3026_81","2"
"3026_86","2"
"3026_88","2"
"3026_89","1"
"3026_9","1"
"3026_91","2"
"3026_94","2"
"3026_95","1"
"3026_98","1"
"3028_0","2"
"3028_1","2"
"3028_100","1"
"3028_103","2"
"3028_106","2"
"3028_107","2"
"3028_108","2"
"3028_109","2"
"3028_113","2"
"3028_114","2"
"3028_115","2"
"3028_17","2"
"3028_19","2"
"3028_2","2"
"3028_20","2"
"3028_22","2"
"3028_25","1"
"3028_26","2"
"3028_27","1"
"3028_28","2"
"3028_29","2"
"3028_35","2"
"3028_36","2"
"3028_4","2"
"3028_42","2"
"3028_43","2"
"3028_44","1"
"3028_45","2"
"3028_47","2"
"3028_48","2"
"3028_49","2"
"3028_52","2"
"3028_54","2"
"3028_56","1"
"3028_59","1"
"3028_6","2"
"3028_63","2"
"3028_64","2"
"3028_65","2"
"3028_70","1"
"3028_71","2"
"3028_74","2"
"3028_75","2"
"3028_80","2"
"3028_81","2"
"3028_82","2"
"3028_83","2"
"3028_84","2"
"3028_85","2"
"3028_86","2"
"3028_89","2"
"3028_91","2"
"3028_96","2"
"3028_97","2"
"3028_99","2"
"3030_0","2"
"3030_10","1"
"3030_100","2"
"3030_101","1"
"3030_102","2"
"3030_103","1"
"3030_104","1"
"3030_107","1"
"3030_11","1"
"3030_110","3"
"3030_111","3"
"3030_112","1"
"3030_115","2"
"3030_12","1"
"3030_13","1"
"3030_14","1"
"3030_19","1"
