"cluster","DP","group","submission_id","item_id","x_startDP","x_endDP","x_DPDiff"
"3","indeed","reliable",3463,3,0.447523141087453,1,0.552476858912547
"3","indeed","reliable",3463,13,0.0131396535026582,1,0.986860346497342
"3","indeed","reliable",3463,30,0.106736711316847,0.741907314991388,0.635170603674541
"3","indeed","reliable",3463,35,0.0248062488644622,1,0.975193751135538
"3","indeed","reliable",3465,10,0.42072,0.8416,0.42088
"3","indeed","reliable",3465,60,0.406672025723473,0.790739549839228,0.384067524115756
"3","indeed","reliable",3467,6,0.9119825708061,1,0.0880174291938998
"3","indeed","reliable",3467,10,0.199313893653516,1,0.800686106346484
"3","indeed","reliable",3467,21,0.176330749354005,1,0.823669250645995
"3","indeed","reliable",3467,26,0.4125,1,0.5875
"3","indeed","reliable",3467,28,0.850936967632027,1,0.149063032367973
"3","indeed","reliable",3467,29,0.0214427860696517,1,0.978557213930348
"3","indeed","reliable",3467,31,1,1,0
"3","indeed","reliable",3467,46,0.563113367174281,1,0.436886632825719
"3","indeed","reliable",3467,49,0,1,1
"3","indeed","reliable",3467,52,0.867298578199052,1,0.132701421800948
"3","indeed","unreliable",2931,22,0.113212321232123,0.892189218921892,0.778976897689769
"3","indeed","unreliable",2931,24,0.0138508371385084,0.881095890410959,0.867245053272451
"3","indeed","unreliable",2931,39,0.213047210300429,0.814935622317597,0.601888412017167
"3","indeed","unreliable",2931,45,0.0686602169451774,0.721723834652595,0.653063617707417
"3","indeed","unreliable",2931,52,0.225207163859931,0.706345896819032,0.481138732959102
"3","indeed","unreliable",2931,55,0.0926483613817538,0.853061706524948,0.760413345143195
"3","indeed","unreliable",2934,1,0.331989247311828,1,0.668010752688172
"3","indeed","unreliable",2971,22,1,1,0
"3","indeed","unreliable",2971,46,1,1,0
"3","indeed","unreliable",2983,3,0.494962216624685,1,0.505037783375315
"3","indeed","unreliable",2983,6,0.763564041368337,1,0.236435958631663
"3","indeed","unreliable",2983,12,0.0153472222222222,0.998515625,0.983168402777778
"3","indeed","unreliable",2983,15,0.078393665158371,0.93868778280543,0.860294117647059
"3","indeed","unreliable",2983,16,0.00774618871034199,1,0.992253811289658
"3","indeed","unreliable",2983,23,1,1,0
"3","indeed","unreliable",2983,33,1,1,0
"3","indeed","unreliable",2983,50,0.993964757709251,1,0.00603524229074892
"3","indeed","unreliable",2983,53,0,0.641757565095004,0.641757565095004
"3","indeed","unreliable",2983,56,0.163682864450128,1,0.836317135549872
"3","indeed","unreliable",3023,2,0.815329768270945,0.885490267884498,0.0701604996135529
"3","indeed","unreliable",3023,4,0.514574882685119,0.906417322834646,0.391842440149527
"3","indeed","unreliable",3023,5,0.87843137254902,0.963921640433517,0.0854902678844975
"3","indeed","unreliable",3023,10,0.615661478599222,0.917509798873723,0.301848320274501
"3","indeed","unreliable",3023,11,0.795883354618987,0.926436851764547,0.130553497145561
"3","indeed","unreliable",3023,12,0.830818181818182,0.940727206143466,0.109909024325284
"3","indeed","unreliable",3023,13,0.853963636363636,0.95527266068892,0.101309024325284
"3","indeed","unreliable",3023,16,0.863479923518164,0.913193186656011,0.0497132631378466
"3","indeed","unreliable",3023,19,0.771799628942486,0.933951694580531,0.162152065638045
"3","indeed","unreliable",3023,22,0.795289855072464,0.882970948150193,0.0876810930777288
"3","indeed","unreliable",3023,23,0.826276558690352,0.941762522262632,0.11548596357228
"3","indeed","unreliable",3023,25,0.836380952380952,0.911619117373512,0.0752381649925594
"3","indeed","unreliable",3023,28,0.860912698412698,0.977381025041853,0.116468326629154
"3","indeed","unreliable",3023,29,0.629940711462451,0.879288537549407,0.249347826086956
"3","indeed","unreliable",3023,30,0.89630314232902,0.919408435081158,0.0231052927521372
"3","indeed","unreliable",3023,32,0.657707509881423,0.941106719367589,0.283399209486166
"3","indeed","unreliable",3023,33,0.497025371828521,0.922441016970657,0.425415645142135
"3","indeed","unreliable",3023,34,0.949945355191257,0.964298658249374,0.014353303058117
"3","indeed","unreliable",3023,35,0.774440298507463,0.969403053397563,0.1949627548901
"3","indeed","unreliable",3023,38,0.84250936329588,0.943820224719101,0.101310861423221
"3","indeed","unreliable",3023,42,0.929744525547445,0.975182414925011,0.0454378893775662
"3","indeed","unreliable",3023,47,0.746627212449997,0.951898667954623,0.205271455504625
"3","indeed","unreliable",3023,48,0.69705996131528,0.933733091963098,0.236673130647818
"3","indeed","unreliable",3023,49,0.665596590909091,0.956250071525574,0.290653480616483
"3","indeed","unreliable",3023,51,0.805523341523341,0.981261327245214,0.175737985721872
"3","indeed","unreliable",3023,52,0.855772646536412,0.963410236907471,0.107637590371059
"3","indeed","unreliable",3023,56,0.829427480916031,0.919084039353232,0.0896565584372018
"3","indeed","unreliable",3023,57,0.902446808510638,0.947517665565437,0.0450708570547983
