stimulus,onset,offset,adverb_onset,referent_onset,duration,adverb_onset_rel,referent_onset_rel,rerecorded
t_klo,248.049,249.715,248.302,249.389,1.666,0.303,1.39,
t_kneifzange,76.765,78.805,77.006,78.096,2.04,0.291,1.381,
t_knoblauchpresse,81.358,83.587,81.648,82.708,2.229,0.34,1.4,
t_kohl,276.031,277.886,276.272,277.436,1.855,0.291,1.455,
t_kontrabass,135.562,137.668,135.814,136.955,2.106,0.302,1.443,
t_kopfhoerer,290.328,292.259,290.594,291.671,1.931,0.316,1.393,
t_krabbe,48.969,50.942,49.237,50.476,1.973,0.318,1.557,
t_kranz,335.59,337.548,335.857,336.991,1.958,0.317,1.451,
t_kugelschreiber,235.66,237.636,235.861,236.896,1.976,0.251,1.286,
t_libelle,87.292,89.159,87.543,88.699,1.867,0.301,1.457,
t_limette,185.069,186.879,185.3,186.416,1.81,0.281,1.397,
t_maiskolben,223.388,225.46,223.637,224.756,2.072,0.299,1.418,
t_messbecher,72.145,74.291,72.47,73.63,2.146,0.375,1.535,
t_messer,216.215,217.973,216.462,217.531,1.758,0.297,1.366,
t_mixer,265.253,267.032,265.478,266.598,1.779,0.275,1.395,
t_nilpferd,60.661,62.676,60.916,62.01,2.015,0.305,1.399,
t_ofen,257.766,259.573,258.03,259.164,1.807,0.314,1.448,
t_panda,68.64,70.498,68.905,70.041,1.858,0.315,1.451,
t_papagei,111.036,113.037,111.266,112.424,2.001,0.28,1.438,
t_papierflieger,143.736,145.908,143.997,145.086,2.172,0.311,1.4,
t_pferd,80.324,82.306,80.587,81.764,1.982,0.313,1.49,
t_pinnwand,277.665,279.502,277.912,278.962,1.837,0.297,1.347,
t_pinzette,49.025,50.956,49.318,50.4,1.931,0.343,1.425,
t_portmonnaie,145.119,146.979,145.29,146.395,1.86,0.221,1.326,
t_posaune,326.72,328.632,326.978,328.045,1.912,0.308,1.375,
t_rad,285.681,287.483,285.923,287.058,1.802,0.292,1.427,
t_reifen,296.361,298.23,296.603,297.712,1.869,0.292,1.401,
t_salzstreuer,322.408,324.444,322.654,323.762,2.036,0.296,1.404,
t_saxophon,340.103,342.125,340.362,341.489,2.022,0.309,1.436,
t_schaf,119.012,120.984,119.283,120.455,1.972,0.321,1.493,
t_schal,202.867,204.61,203.068,204.132,1.743,0.251,1.315,
t_schaufel,231.382,233.291,231.651,232.749,1.909,0.319,1.417,
t_schloss,32.853,34.798,33.124,34.318,1.945,0.321,1.515,
t_schneemann,139.501,141.497,139.77,140.893,1.996,0.319,1.442,
t_schneeschippe,304.198,306.202,304.458,305.554,2.004,0.31,1.406,
t_schraube,261.643,263.419,261.887,262.911,1.776,0.294,1.318,
t_seil,149.162,150.959,149.372,150.5,1.797,0.26,1.388,
t_sieb,24.841,26.633,25.112,26.262,1.792,0.321,1.471,
t_sonnenbrille,213.496,215.46,213.723,214.842,1.964,0.277,1.396,
t_stecker,113.556,115.265,113.755,114.829,1.709,0.249,1.323,
t_streichholz,157.251,159.273,157.456,158.518,2.022,0.255,1.317,
t_tacker,28.673,30.481,28.921,30.094,1.808,0.298,1.471,
t_teekanne,38.975,40.943,39.191,40.325,1.968,0.266,1.4,
t_tennisschlaeger,281.389,283.45,281.618,282.724,2.061,0.279,1.385,
t_tiger,72.438,74.319,72.687,73.841,1.881,0.299,1.453,
t_tischtennisschlaeger,259.17,261.559,259.464,260.63,2.389,0.344,1.51,
t_toasbrot,180.437,182.451,180.66,181.775,2.014,0.273,1.388,
t_tonbandgeraet,189.721,191.96,189.931,191.042,2.239,0.26,1.371,
t_topf_2,192.209,194.083,192.478,193.644,1.874,0.319,1.485,
t_traktor,236.213,238.091,236.463,237.549,1.878,0.3,1.386,
t_turm,240.267,242.008,240.516,241.617,1.741,0.299,1.4,
t_waage,285.799,287.6,286.056,287.183,1.801,0.307,1.434,
t_wok,43.811,45.612,44.134,45.267,1.801,0.373,1.506,
t_wolf,45.684,47.642,45.955,47.196,1.958,0.321,1.562,
t_zigarette,313.488,315.407,313.74,314.821,1.919,0.302,1.383,
t_zwiebel,219.036,220.933,219.274,220.365,1.897,0.288,1.379,
e_autoschluessel,84.854,87.113,85.114,86.302,2.259,0.31,1.498,1
e_besen,160.772,162.783,161.018,162.216,2.011,0.296,1.494,1
e_blumenkohl,166.288,168.476,166.535,167.733,2.188,0.297,1.495,1
e_bueroklammer,119.134,121.349,119.406,120.557,2.215,0.322,1.473,1
e_elektrorasierer,95.834,98.209,96.089,97.209,2.375,0.305,1.425,1
e_fensterabzieher,90.84,93.362,91.118,92.326,2.522,0.328,1.536,1
e_fingerhut,202.605,204.728,202.875,203.968,2.123,0.32,1.413,1
e_flaschenoeffner,129.524,131.781,129.807,130.937,2.257,0.333,1.463,1
e_fueller,233.846,235.587,234.073,235.143,1.741,0.277,1.347,1
e_guertel,244.528,246.409,244.758,245.902,1.881,0.28,1.424,1
e_handmixer,261.583,263.659,261.833,262.957,2.076,0.3,1.424,1
e_himbeere,222.941,224.98,223.172,224.296,2.039,0.281,1.405,1
e_kabel,250.233,252.105,250.488,251.575,1.872,0.305,1.392,1
e_kerze,145.64,147.548,145.924,146.963,1.908,0.334,1.373,1
e_kiwi,171.71,173.6,171.971,173.068,1.89,0.311,1.408,1
e_klemmbrett,277.72,279.749,278.001,279.077,2.029,0.331,1.407,1
e_kneifzange,65.823,68.002,66.063,67.163,2.179,0.29,1.39,1
e_knoblauchpresse,75.473,77.938,75.747,76.891,2.465,0.324,1.468,1
e_kohl,255.957,257.8,256.212,257.329,1.843,0.305,1.422,1
e_kopfhoerer,272.421,274.395,272.7,273.725,1.974,0.329,1.354,1
e_kugelschreiber,228.257,230.389,228.488,229.598,2.132,0.281,1.391,1
e_limette,186.213,188.094,186.468,187.52,1.881,0.305,1.357,1
e_messbecher,61.46,63.706,61.737,62.844,2.246,0.327,1.434,1
e_pinzette,52.707,54.83,53.106,54.114,2.123,0.449,1.457,1
e_portemonnaie,134.349,136.37,134.636,135.746,2.021,0.337,1.447,1
e_schal,197.084,198.992,197.335,198.418,1.908,0.301,1.384,1
e_schloss,31.278,33.325,31.574,32.803,2.047,0.346,1.575,1
e_seil,140.305,142.213,140.545,141.716,1.908,0.29,1.461,1
e_sieb,23.399,25.385,23.673,24.95,1.986,0.324,1.601,1
e_sonnenbrille,208.876,211.036,209.159,210.313,2.16,0.333,1.487,1
e_stecker,110.878,112.73,111.158,112.194,1.852,0.33,1.366,1
e_streichholz,150.562,152.777,150.815,151.878,2.215,0.303,1.366,1
e_tacker,27.168,29.105,27.45,28.668,1.937,0.332,1.55,1
e_teekanne,35.827,38.03,36.139,37.378,2.203,0.362,1.601,1
e_tischtennisschlaeger,238.996,241.296,239.241,240.371,2.3,0.295,1.425,1
e_toastbrot,181.098,183.249,181.358,182.471,2.151,0.31,1.423,1
e_tonbandgeraet,191.193,193.585,191.554,192.546,2.392,0.411,1.403,1
e_waage,266.797,268.64,267.051,268.134,1.843,0.304,1.387,1
e_wok,48.746,50.805,49.002,50.373,2.059,0.306,1.677,1
e_zwiebel,215.743,217.652,216.014,217.043,1.909,0.321,1.35,1
t_baguette,434.419,436.268,434.689,435.749,1.849,0.32,1.38,1
t_bierkrug,325.728,327.745,325.998,327.144,2.017,0.32,1.466,1
t_bleistift,490.341,492.345,490.588,491.688,2.004,0.297,1.397,1
t_bohrer,365.363,367.156,365.612,366.708,1.793,0.299,1.395,1
t_brillenetui,394.33,396.743,394.577,395.777,2.413,0.297,1.497,1
t_brokkoli,422.374,424.252,422.625,423.707,1.878,0.301,1.383,1
t_buegeleisen,536.781,538.787,537.038,538.113,2.006,0.307,1.382,1
t_druckbleistift,485.061,487.255,485.29,486.398,2.194,0.279,1.387,1
t_garn,463.93,465.708,464.21,465.293,1.778,0.33,1.413,1
t_geschenkband,523.71,525.771,523.955,525.051,2.061,0.295,1.391,1
t_giesskanne,310.496,312.492,310.756,311.895,1.996,0.31,1.449,1
t_grillzange,320.7,322.648,320.964,322.067,1.948,0.314,1.417,1
t_gummiband,515.538,517.47,515.79,516.876,1.932,0.302,1.388,1
t_haarreif,547.729,549.873,548.012,549.128,2.144,0.333,1.449,1
t_haarschneider,355.41,357.432,355.694,356.791,2.022,0.334,1.431,1
t_heftklammerentferner,300.417,302.875,300.74,301.866,2.458,0.373,1.499,1
t_honigmelone,441.36,443.514,441.64,442.725,2.154,0.33,1.415,1
t_kartoffel,474.705,476.527,474.963,476.004,1.822,0.308,1.349,1
t_kokosnuss,428.148,430.19,428.413,429.478,2.042,0.315,1.38,1
t_korb,290.792,292.628,291.064,292.211,1.836,0.322,1.469,1
t_kreide,406.398,408.18,406.651,407.734,1.782,0.303,1.386,1
t_kuechenmachine,542.285,544.442,542.535,543.631,2.157,0.3,1.396,1
t_lolli,497.047,498.728,497.287,498.374,1.681,0.29,1.377,1
t_ordner,563.573,565.387,563.814,564.9,1.814,0.291,1.377,1
t_paprika,479.903,481.836,480.161,481.308,1.933,0.308,1.455,1
t_rasierer,350.435,352.367,350.72,351.877,1.932,0.335,1.492,1
t_reibe,339.841,341.601,340.117,341.213,1.76,0.326,1.422,1
t_salat,528.465,530.424,528.773,529.863,1.959,0.358,1.448,1
t_scharniergelenk,305.321,307.521,305.589,306.718,2.2,0.318,1.447,1
t_schere,334.846,336.638,335.098,336.196,1.792,0.302,1.4,1
t_schuhloeffel,389.002,391.03,389.257,390.36,2.028,0.305,1.408,1
t_schwimmbrille,469.512,471.431,469.772,470.786,1.919,0.31,1.324,1
t_sicherheitsnadel,381.776,384.031,382.018,383.12,2.255,0.292,1.394,1
t_teppich,452.476,454.313,452.773,453.845,1.837,0.347,1.419,1
t_topf,315.871,317.685,316.144,317.278,1.814,0.323,1.457,1
t_usbstick,344.635,346.888,344.93,346.063,2.253,0.345,1.478,1
t_walkman,458.729,460.577,458.97,460.066,1.848,0.291,1.387,1
t_wischmobb,416.686,418.587,416.952,418.057,1.901,0.316,1.421,1
t_wollknaeul,401.037,403.05,401.296,402.399,2.013,0.309,1.412,1
t_zahnstocher,411.241,413.328,411.482,412.585,2.087,0.291,1.394,1
t_zigarre,568.987,570.798,569.232,570.278,1.811,0.295,1.341,1
