"DP","group","submission_id","item_id","block","trialNumber","xpos_mean","xpos_side","xpos_side_num"
"actually","reliable",2976,125,1,11,0,"competitor",0
"actually","reliable",2976,126,6,67,0.0600711481907805,"target",1
"actually","reliable",2976,127,4,42,-0.0558890012139349,"competitor",0
"actually","reliable",2976,132,7,75,0.00103071765132294,"target",1
"actually","reliable",2976,136,5,54,-0.0471183679801427,"competitor",0
"actually","reliable",2976,137,9,105,0,"competitor",0
"actually","reliable",2976,139,4,37,0.00757924391934746,"target",1
"actually","reliable",2976,142,8,88,0.00641095232604788,"target",1
"actually","reliable",2976,144,9,96,0,"competitor",0
"actually","reliable",2976,145,2,23,-0.00984607286280703,"competitor",0
"actually","reliable",2976,150,10,108,0.00779935077489799,"target",1
"actually","reliable",2976,155,10,115,0,"competitor",0
"actually","reliable",2976,157,4,41,0,"competitor",0
"actually","reliable",2978,104,10,113,0,"competitor",0
"actually","reliable",2978,105,7,75,0,"competitor",0
"actually","reliable",2978,108,10,116,0,"competitor",0
"actually","reliable",2978,109,5,49,0,"competitor",0
"actually","reliable",2978,110,3,24,0,"competitor",0
"actually","reliable",2978,112,1,5,0.0250420133136183,"target",1
"actually","reliable",2978,113,9,105,0,"competitor",0
"actually","reliable",2978,117,2,12,0,"competitor",0
"actually","reliable",2978,118,4,45,0,"competitor",0
"actually","reliable",2978,119,8,94,0,"competitor",0
"actually","reliable",2978,120,2,15,0,"competitor",0
"actually","reliable",2978,122,6,69,-5.52185180822241e-06,"competitor",0
"actually","reliable",2978,123,9,101,0,"competitor",0
"actually","reliable",2978,124,1,0,-0.0021709323583181,"competitor",0
"actually","reliable",2978,130,7,79,0,"competitor",0
"actually","reliable",2978,133,2,16,0,"competitor",0
"actually","reliable",2978,135,4,42,0,"competitor",0
"actually","reliable",2978,136,5,58,0,"competitor",0
"actually","reliable",2978,137,8,92,0,"competitor",0
"actually","reliable",2978,139,5,56,0,"competitor",0
"actually","reliable",2978,141,3,29,0,"competitor",0
"actually","reliable",2978,142,10,109,0,"competitor",0
"actually","reliable",2978,143,6,66,0,"competitor",0
"actually","reliable",2978,145,1,1,0.0165201179148885,"target",1
"actually","reliable",2978,147,9,100,0,"competitor",0
"actually","reliable",2978,152,7,72,0,"competitor",0
"actually","reliable",2978,156,6,70,0,"competitor",0
"actually","reliable",2978,157,4,40,0,"competitor",0
"actually","reliable",2978,159,8,84,0,"competitor",0
"actually","reliable",2978,160,3,31,0,"competitor",0
"actually","reliable",2996,117,10,113,1,"target",1
"actually","reliable",2996,136,6,63,1,"target",1
"actually","reliable",2996,149,7,82,0.996730561019523,"target",1
"actually","reliable",2997,106,6,64,-0.116115612207099,"competitor",0
"actually","reliable",2997,107,4,46,-0.671625264890602,"competitor",0
"actually","reliable",2997,108,10,112,-0.234430105820106,"competitor",0
"actually","reliable",2997,111,4,47,-0.787894937541515,"competitor",0
"actually","reliable",2997,112,5,49,-0.56926437958696,"competitor",0
"actually","reliable",2997,113,5,57,-0.855539131724501,"competitor",0
"actually","reliable",2997,115,10,109,-0.782328871687362,"competitor",0
"actually","reliable",2997,116,4,38,-1.03815604297532,"competitor",0
"actually","reliable",2997,120,2,19,0.17933861918672,"target",1
"actually","reliable",2997,122,3,28,0.0103093431521545,"target",1
"actually","reliable",2997,123,7,75,0.00657311804335091,"target",1
"actually","reliable",2997,124,2,16,0.0299714407789696,"target",1
"actually","reliable",2997,125,1,6,-0.0368629418980707,"competitor",0
"actually","reliable",2997,129,9,99,-0.872123488551582,"competitor",0
"actually","reliable",2997,131,3,27,-0.0540953008595261,"competitor",0
"actually","reliable",2997,132,7,76,-0.67905438829441,"competitor",0
"actually","reliable",2997,133,8,93,-0.598430972307274,"competitor",0
"actually","reliable",2997,134,7,73,-0.223736311431624,"competitor",0
"actually","reliable",2997,136,2,22,0.0211422750918549,"target",1
"actually","reliable",2997,138,1,10,0.00439835985610634,"target",1
"actually","reliable",2997,139,9,103,-0.745243211486149,"competitor",0
"actually","reliable",2997,140,10,114,-0.809253740609673,"competitor",0
"actually","reliable",2997,141,3,24,-0.00586828191571275,"competitor",0
"actually","reliable",2997,144,8,94,-0.737714215479702,"competitor",0
"actually","reliable",2997,148,1,7,0.0247941048981361,"target",1
"actually","reliable",2997,149,6,66,-0.0778254448273437,"competitor",0
"actually","reliable",2997,155,9,98,-0.805375709964927,"competitor",0
"actually","reliable",3020,103,10,109,-0.769844664160348,"competitor",0
"actually","reliable",3020,106,9,107,-0.832200884709051,"competitor",0
"actually","reliable",3020,107,1,6,0.89522372739008,"target",1
"actually","reliable",3020,109,8,94,-0.936782747675005,"competitor",0
"actually","reliable",3020,111,2,12,0.511052106027596,"target",1
"actually","reliable",3020,113,7,80,-0.672616145247863,"competitor",0
"actually","reliable",3020,118,4,38,-0.757206962447908,"competitor",0
"actually","reliable",3020,119,5,48,-0.701810314511567,"competitor",0
"actually","reliable",3020,120,2,15,-0.5419646799117,"competitor",0
"actually","reliable",3020,122,6,71,-1.03680472088675,"competitor",0
"actually","reliable",3020,123,6,63,-0.730276474429057,"competitor",0
"actually","reliable",3020,125,4,39,-0.74938131122359,"competitor",0
"actually","reliable",3020,127,2,21,-0.765497286079183,"competitor",0
"actually","reliable",3020,128,1,5,-0.712730303147458,"competitor",0
"actually","reliable",3020,134,10,116,-0.788700386371619,"competitor",0
"actually","reliable",3020,135,6,67,-1.01838101484782,"competitor",0
"actually","reliable",3020,138,7,73,-0.5101499927188,"competitor",0
"actually","reliable",3020,141,3,32,-0.933112167071596,"competitor",0
"actually","reliable",3020,142,1,0,-1.14378469941132,"competitor",0
"actually","reliable",3020,143,3,30,-0.683621683967705,"competitor",0
"actually","reliable",3020,145,9,104,-0.745906680805938,"competitor",0
"actually","reliable",3020,149,5,55,-0.948097568582293,"competitor",0
"actually","reliable",3020,151,7,77,-0.918576566279318,"competitor",0
"actually","reliable",3025,101,5,56,0,"competitor",0
"actually","reliable",3025,111,1,0,0.010728062712957,"target",1
"actually","reliable",3025,125,2,15,0,"competitor",0
"actually","reliable",3025,144,1,7,0.40475003450643,"target",1
"actually","reliable",3025,150,1,2,0.063260354666669,"target",1
"actually","reliable",3025,157,10,117,0.0317433152803534,"target",1
"actually","reliable",3026,102,2,13,0,"competitor",0
"actually","reliable",3026,106,7,78,0,"competitor",0
"actually","reliable",3026,108,8,86,0.00102286242286242,"target",1
"actually","reliable",3026,109,4,41,0.402533575184595,"target",1
"actually","reliable",3026,111,2,22,-0.000776775486827033,"competitor",0
"actually","reliable",3026,114,3,26,0,"competitor",0
"actually","reliable",3026,115,2,12,0.160525244159161,"target",1
"actually","reliable",3026,117,7,77,0.385863280940496,"target",1
"actually","reliable",3026,119,1,5,0,"competitor",0
"actually","reliable",3026,122,6,61,0,"competitor",0
"actually","reliable",3026,125,3,25,0,"competitor",0
"actually","reliable",3026,131,8,88,0.101644405560416,"target",1
"actually","reliable",3026,133,9,104,0.0567893240141159,"target",1
"actually","reliable",3026,142,9,95,-0.000851561195525129,"competitor",0
"actually","reliable",3026,143,4,47,0.284814648751067,"target",1
"actually","reliable",3026,149,1,9,0.00107758620689655,"target",1
"actually","reliable",3026,152,4,45,0,"competitor",0
"actually","reliable",3026,153,5,52,0,"competitor",0
"actually","reliable",3026,155,10,108,0.000404154250308096,"target",1
"actually","reliable",3026,156,10,114,0,"competitor",0
"actually","reliable",3026,157,1,3,0,"competitor",0
"actually","reliable",3026,158,9,98,0,"competitor",0
"actually","reliable",3026,159,5,58,0,"competitor",0
"actually","reliable",3026,160,7,74,0,"competitor",0
"actually","reliable",3032,101,4,39,-0.031461680461568,"competitor",0
"actually","reliable",3032,102,1,4,0.0140551024404816,"target",1
"actually","reliable",3032,104,1,6,-0.0184346265950218,"competitor",0
"actually","reliable",3032,105,2,23,0.0321881987559924,"target",1
"actually","reliable",3032,107,10,111,-0.00784316955704088,"competitor",0
"actually","reliable",3032,108,3,27,0.00388259746413849,"target",1
"actually","reliable",3032,109,2,13,-0.0343816344014918,"competitor",0
"actually","reliable",3032,111,7,73,0.0362184172741563,"target",1
"actually","reliable",3032,117,6,60,-0.0114576524951327,"competitor",0
"actually","reliable",3032,118,9,95,0.000161157905169279,"target",1
"actually","reliable",3032,122,10,114,-0.172909553672182,"competitor",0
"actually","reliable",3032,124,5,49,-0.0612026977713629,"competitor",0
"actually","reliable",3032,125,9,100,-0.0187699168726789,"competitor",0
"actually","reliable",3032,130,7,79,-0.0451030270421657,"competitor",0
"actually","reliable",3032,133,5,52,-0.0124100627843429,"competitor",0
"actually","reliable",3032,136,2,14,-0.0374103661047405,"competitor",0
"actually","reliable",3032,141,4,40,0.0158946003657227,"target",1
"actually","reliable",3032,142,5,58,0.0213616559815703,"target",1
"actually","reliable",3032,143,4,42,-0.0080994135545421,"competitor",0
"actually","reliable",3032,147,3,34,0.0327810448903396,"target",1
"actually","reliable",3032,148,3,30,-0.284234676493679,"competitor",0
"actually","reliable",3032,150,9,96,-0.00970357182405143,"competitor",0
"actually","reliable",3032,151,6,65,-0.00906723310253262,"competitor",0
"actually","reliable",3032,153,10,118,-0.00656855247094678,"competitor",0
"actually","reliable",3032,155,8,85,-0.125103254142309,"competitor",0
"actually","reliable",3032,159,1,0,0.00209458710340791,"target",1
"actually","reliable",3054,109,4,41,0.462978830148235,"target",1
"actually","reliable",3054,111,2,22,-0.0319118167465157,"competitor",0
"actually","reliable",3054,112,6,70,-0.0249673354807829,"competitor",0
"actually","reliable",3054,114,3,26,0.0179602777005374,"target",1
"actually","reliable",3054,122,6,61,-0.0629376832356077,"competitor",0
"actually","reliable",3054,125,3,25,0.00755348977998694,"target",1
"actually","reliable",3054,133,9,104,0.0350385467711227,"target",1
"actually","reliable",3054,136,10,111,0.0555037892698561,"target",1
"actually","reliable",3054,143,4,47,-0.348975347714844,"competitor",0
"actually","reliable",3054,144,3,27,-0.00149785116872883,"competitor",0
"actually","reliable",3054,149,1,9,0.0301704639380768,"target",1
"actually","reliable",3054,152,4,45,0.0616816882987646,"target",1
"actually","reliable",3054,153,5,52,0.00901164644287981,"target",1
"actually","reliable",3054,156,10,114,-0.0641721857084099,"competitor",0
"actually","reliable",3054,159,5,58,0.0413284324548985,"target",1
"actually","reliable",3058,104,10,113,0.0108348432055749,"target",1
"actually","reliable",3058,105,7,75,0.229898134644124,"target",1
"actually","reliable",3058,108,10,116,0.157300740740741,"target",1
"actually","reliable",3058,109,5,49,0.0036725792947682,"target",1
"actually","reliable",3058,110,3,24,0,"competitor",0
"actually","reliable",3058,112,1,5,0.115127382284245,"target",1
"actually","reliable",3058,113,9,105,0.332272199186748,"target",1
"actually","reliable",3058,117,2,12,0.139564295977012,"target",1
"actually","reliable",3058,118,4,45,0.457208201458649,"target",1
"actually","reliable",3058,119,8,94,0.245822152319327,"target",1
"actually","reliable",3058,120,2,15,0.00545602077247647,"target",1
"actually","reliable",3058,122,6,69,-0.00418067642405063,"competitor",0
"actually","reliable",3058,123,9,101,0.383944783197832,"target",1
"actually","reliable",3058,124,1,0,0.326328955597248,"target",1
"actually","reliable",3058,130,7,79,0.0838576845341947,"target",1
"actually","reliable",3058,133,2,16,0,"competitor",0
"actually","reliable",3058,135,4,42,0.0970037746079413,"target",1
"actually","reliable",3058,136,5,58,0,"competitor",0
"actually","reliable",3058,137,8,92,0.0381420892368879,"target",1
"actually","reliable",3058,139,5,56,-0.00266104435311752,"competitor",0
"actually","reliable",3058,141,3,29,0.10890453485908,"target",1
"actually","reliable",3058,142,10,109,0.403651193378166,"target",1
"actually","reliable",3058,143,6,66,0.321446958037672,"target",1
"actually","reliable",3058,145,1,1,0.0113098545718505,"target",1
"actually","reliable",3058,147,9,100,0,"competitor",0
"actually","reliable",3058,156,6,70,0.197412479559982,"target",1
"actually","reliable",3058,157,4,40,0,"competitor",0
"actually","reliable",3058,159,8,84,0.367426950945668,"target",1
"actually","reliable",3058,160,3,31,-0.0461624649859944,"competitor",0
